;sessionID;DNI;Telef;CP;duration_call_mins;funnel_steps;product;Municipio;Media de la renta por unidad de consumo;Media de la renta por unidad de consumo;Media de la renta por unidad de consumo;Media de la renta por unidad de consumo;Media de la renta por unidad de consumo;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por hogar;Renta bruta media por hogar;Renta bruta media por hogar;Renta bruta media por hogar;Renta bruta media por hogar;Renta bruta media por hogar;Renta bruta media por persona;Renta bruta media por persona;Renta bruta media por persona;Renta bruta media por persona;Renta bruta media por persona;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por hogar;Renta neta media por hogar;Renta neta media por hogar;Renta neta media por hogar;Renta neta media por hogar;Renta neta media por persona ;Renta neta media por persona ;Renta neta media por persona ;Renta neta media por persona ;Renta neta media por persona ;Renta neta media por persona ;Homicidios dolosos y asesinatos consumados;Homicidios dolosos y asesinatos consumados;Homicidios dolosos y asesinatos en grado tentativa;Homicidios dolosos y asesinatos en grado tentativa;Delitos graves y menos graves de lesiones y riña tumultuaria;Delitos graves y menos graves de lesiones y riña tumultuaria;Secuestro;Secuestro;Delitos contra la libertad e indemnidad sexual;Delitos contra la libertad e indemnidad sexual;Agresión sexual con penetración;Agresión sexual con penetración;Resto de delitos contra la libertad e indemnidad sexual;Resto de delitos contra la libertad e indemnidad sexual;Robos con violencia e intimidación;Robos con violencia e intimidación; Robos con fuerza en domicilios, establecimientos y otras instalaciones; Robos con fuerza en domicilios, establecimientos y otras instalaciones;Robos con fuerza en domicilios;Robos con fuerza en domicilios;Hurtos;Hurtos;Sustracciones de vehículos;Sustracciones de vehículos;Tráfico de drogas;Tráfico de drogas;Resto de infracciones penales;Resto de infracciones penales;TOTAL INFRACCIONES PENALES;TOTAL INFRACCIONES PENALES
;;;;;;;;;2015;2016;2017;2018;2019;2020;2015;2016;2017;2018;2019;2020;2015;2016;2017;2018;2019;2020;2015;2016;2017;2018;2019;2020;2015;2016;2017;2018;2019;2020;2015;2016;2017;2018;2019;2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020;Enero-marzo 2019;Enero-marzo 2020
0;b'MC40MDIwMTkxMTQwNDQ5Mjc1';X84384073;610706856;28092;6.185554276987858;['Piso', 'Intermedio', 'Con Perro'];Home Basic;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
1;b'MC40ODI1OTgyODQ2ODEwMjY2';X65339116;635462198;28092;18.2080399216318;['Chalet', 'Unifamiliar', 'Con Rejas'];Home Premium;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
2;b'MC41NTE1ODg1ODc5NDU4MTQ0';X84384073;610706856;28092;17.707778782054625;['Piso', 'Intermedio', 'Con Perro'];Home Basic;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
3;b'MC41NzkzNTEzNzY1ODcwOTU4';X67376025;624354169;28092;18.09260547695217;['Piso', 'Bajo', 'Con Rejas', 'Con Perro'];Home Premium;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
4;b'MC42MDQxMjM5NTA2NTY5NDc5';X67376025;624354169;28092;17.200239285709102;['Piso', 'Bajo', 'Con Rejas', 'Con Perro'];Home Premium;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
5;b'MC42NDA3NTk0MDk1MDc5NA==';X65339116;635462198;28092;23.387328261989435;['Chalet', 'Unifamiliar', 'Con Rejas'];Home Premium;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
6;b'MC42NTUwOTc1NjgxNzAxNzY=';X84384073;610706856;28092;23.898185285211067;['Piso', 'Intermedio', 'Con Perro'];Home Basic;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
7;b'MC42Njc0MTQxMzgxNDc5NDc1';X84384073;610706856;28092;28.866454453500342;['Piso', 'Intermedio', 'Con Perro'];Home Basic;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
8;b'MC42NzA3NDg4Njk5NTQ3MDgz';X16558297;629922565;28092;3.845363945656475;['Piso', 'Bajo', 'Con Rejas', 'Sin Perro'];;Móstoles;15.923357664233576;16.201211678832117;16.71328368794326;17.405099290780143;18.141751773049645;18.158113475177306;14.763868613138687;15.049999999999999;15.613475177304965;16.313475177304962;17.04078014184397;16.99113475177305;34.51545255474453;35.23832846715328;36.07272340425532;37.54201418439716;39.265744680851064;39.11718439716312;12.200459854014598;12.41829197080292;12.853851063829788;13.377808510638298;13.998574468085106;14.087531914893617;29.577642335766424;30.17036496350365;30.812624113475177;32.06405673758865;33.44949645390071;33.30631205673759;10.461160583941606;10.638729927007299;10.98568794326241;11.432078014184397;11.933418439716313;12.00458865248227;0.0;0.0;0.0;3.0;12.0;13.0;1.0;0.0;14.0;10.0;1.0;3.0;13.0;7.0;69.0;50.0;71.0;70.0;53.0;24.0;486.0;416.0;67.0;55.0;12.0;18.0;1357.0;1228.0;2089.0;1863.0
